70.4233,76.8524,0.390269
85.3805,52.8533,0.54194
105.552,28.4322,0.578557
179.992,11.4127,0.593567
254.448,28.4321,0.577928
274.619,52.8532,0.540779
289.576,76.8524,0.388845
76.17,80.5606,0.320035
92.6394,56.1575,0.536851
116.514,32.3729,0.577516
179.991,18.2267,0.591562
243.415,32.3991,0.576836
267.263,56.2014,0.535536
283.711,80.6337,0.317027
98.8783,59.5768,0.529401
124.597,36.7032,0.575633
179.993,24.5298,0.58874
235.332,36.7426,0.574908
261.008,59.6392,0.527954
104.969,63.4691,0.516284
131.423,41.7311,0.572463
179.99,31.1528,0.585185
228.507,41.7754,0.571699
254.911,63.5389,0.514685
110.308,67.3316,0.497583
136.673,46.7403,0.567995
179.993,37.3556,0.581238
223.268,46.7894,0.567169
249.579,67.4082,0.495825
115.853,71.7779,0.467438
141.528,52.4917,0.560124
179.995,44.1885,0.575588
218.427,52.5415,0.559274
244.048,71.8552,0.465504
121.033,76.2935,0.420369
145.612,58.3078,0.54814
179.997,50.8989,0.566972
214.358,58.3508,0.547245
238.892,76.3605,0.418188
126.541,81.4049,0.315103
149.563,64.8574,0.523671
180.003,58.2866,0.551844
210.439,64.8586,0.522868
233.46,81.4068,0.314153
